DATE,HPCP,STATION,STATION_NAME
20130223 04:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130223 05:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130223 06:00,0.34,COOP:317069,RALEIGH AIRPORT NC US
20130223 07:00,0.15,COOP:317069,RALEIGH AIRPORT NC US
20130223 08:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130223 09:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130223 10:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130223 11:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130223 12:00,0.07,COOP:317069,RALEIGH AIRPORT NC US
20130223 13:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130223 14:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130223 15:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130223 16:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130224 04:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130226 03:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130226 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130226 08:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130226 09:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130226 10:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130226 11:00,0.12,COOP:317069,RALEIGH AIRPORT NC US
20130226 12:00,0.14,COOP:317069,RALEIGH AIRPORT NC US
20130226 13:00,0.15,COOP:317069,RALEIGH AIRPORT NC US
20130226 14:00,0.11,COOP:317069,RALEIGH AIRPORT NC US
20130226 15:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130226 16:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130226 17:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130301 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 13:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130305 14:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130305 15:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 16:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130305 17:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130305 18:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 19:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 20:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 21:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130305 22:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130305 23:00,0.24,COOP:317069,RALEIGH AIRPORT NC US
20130306 00:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130306 03:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130306 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130306 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130306 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130306 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130312 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130312 02:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130312 03:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130312 04:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130312 05:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130312 06:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130312 07:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130312 08:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130312 09:00,0.33,COOP:317069,RALEIGH AIRPORT NC US
20130312 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130312 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130312 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130317 23:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 00:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 03:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130318 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 10:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 15:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130318 20:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130318 21:00,0.1,COOP:317069,RALEIGH AIRPORT NC US
20130318 22:00,0.05,COOP:317069,RALEIGH AIRPORT NC US
20130318 23:00,0.09,COOP:317069,RALEIGH AIRPORT NC US
20130319 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130319 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130321 02:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130324 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130324 08:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130324 09:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130324 10:00,0.08,COOP:317069,RALEIGH AIRPORT NC US
20130324 11:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130324 12:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130324 13:00,0.23,COOP:317069,RALEIGH AIRPORT NC US
20130324 14:00,0.14,COOP:317069,RALEIGH AIRPORT NC US
20130324 15:00,0.1,COOP:317069,RALEIGH AIRPORT NC US
20130324 16:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130324 17:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130325 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130325 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130325 06:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130325 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130325 09:00,0,COOP:317069,RALEIGH AIRPORT NC US
